Logger:         	MadelineProto
DataCenter, 5627920568:     	OK!
DataCenter, 5627920568:     	Reconnecting to DC 3 (-1) from existing
DataCenterConnection, 5627920568: 	Trying shared connection via tcp://149.154.175.100:443 main DC 3, via ipv4 using AbridgedStream => BufferedRawStream => DefaultStream (-1)
DataCenterConnection, 5627920568: 	Already connected!
DataCenter, 5627920568:     	OK!
DataCenter, 5627920568:     	Reconnecting to DC 4 (-1) from existing
DataCenterConnection, 5627920568: 	Trying shared connection via tcp://149.154.167.91:443 main DC 4, via ipv4 using AbridgedStream => BufferedRawStream => DefaultStream (-1)
DataCenterConnection, 5627920568: 	Already connected!
DataCenter, 5627920568:     	OK!
DataCenter, 5627920568:     	Reconnecting to DC -4 (-1) from existing
DataCenterConnection, 5627920568: 	Trying shared connection via tcp://149.154.165.96:443 main DC -4, via ipv4 using AbridgedStream => BufferedRawStream => DefaultStream (-1)
DataCenterConnection, 5627920568: 	Already connected!
DataCenter, 5627920568:     	OK!
DataCenter, 5627920568:     	Reconnecting to DC 5 (-1) from existing
DataCenterConnection, 5627920568: 	Trying shared connection via tcp://91.108.56.199:443 main DC 5, via ipv4 using AbridgedStream => BufferedRawStream => DefaultStream (-1)
DataCenterConnection, 5627920568: 	Already connected!
DataCenter, 5627920568:     	OK!
MTProto, 5627920568:        	Initing authorization...
DataCenterConnection, 5627920568: 	Initing auth for DC 2
DataCenterConnection, 5627920568: 	Initing auth for DC 1
DataCenterConnection, 5627920568: 	Initing auth for DC 3
DataCenterConnection, 5627920568: 	Initing auth for DC 4
DataCenterConnection, 5627920568: 	Initing auth for DC 5
DataCenterConnection, 5627920568: 	Initing auth for DC -2
DataCenterConnection, 5627920568: 	Initing auth for DC -4
MTProto, 5627920568:        	Done initing authorization!
MTProto, 5627920568:        	Starting update system
DataCenterConnection, 5627920568: 	Flushing pending messages, DC 2
DataCenterConnection, 5627920568: 	Flushing pending messages, DC 1
DataCenterConnection, 5627920568: 	Flushing pending messages, DC -2
DataCenterConnection, 5627920568: 	Flushing pending messages, DC 3
DataCenterConnection, 5627920568: 	Flushing pending messages, DC 4
DataCenterConnection, 5627920568: 	Flushing pending messages, DC -4
DataCenterConnection, 5627920568: 	Flushing pending messages, DC 5
PingLoop, 5627920568:       	Ping DC 5.0
PingLoop, 5627920568:       	Ping DC 2.0
PingLoop, 5627920568:       	Ping DC 1.0
PingLoop, 5627920568:       	Ping DC 3.0
PingLoop, 5627920568:       	Ping DC 4.0
MTProto, 5627920568:        	Initing authorization...
DataCenterConnection, 5627920568: 	Initing auth for DC 2
DataCenterConnection, 5627920568: 	Initing auth for DC 1
DataCenterConnection, 5627920568: 	Initing auth for DC 3
DataCenterConnection, 5627920568: 	Initing auth for DC 4
DataCenterConnection, 5627920568: 	Initing auth for DC 5
DataCenterConnection, 5627920568: 	Initing auth for DC -2
DataCenterConnection, 5627920568: 	Initing auth for DC -4
MTProto, 5627920568:        	Done initing authorization!
MTProto, 5627920568:        	Starting update system
DataCenterConnection, 5627920568: 	Flushing pending messages, DC 2
DataCenterConnection, 5627920568: 	Flushing pending messages, DC 1
DataCenterConnection, 5627920568: 	Flushing pending messages, DC -2
DataCenterConnection, 5627920568: 	Flushing pending messages, DC 3
DataCenterConnection, 5627920568: 	Flushing pending messages, DC 4
DataCenterConnection, 5627920568: 	Flushing pending messages, DC -4
DataCenterConnection, 5627920568: 	Flushing pending messages, DC 5
MTProto, 5627920568:        	Starting update system
DataCenterConnection, 5627920568: 	Flushing pending messages, DC 2
DataCenterConnection, 5627920568: 	Flushing pending messages, DC 1
DataCenterConnection, 5627920568: 	Flushing pending messages, DC -2
DataCenterConnection, 5627920568: 	Flushing pending messages, DC 3
DataCenterConnection, 5627920568: 	Flushing pending messages, DC 4
DataCenterConnection, 5627920568: 	Flushing pending messages, DC -4
DataCenterConnection, 5627920568: 	Flushing pending messages, DC 5
MTProto, 5627920568:        	Getting updates after deserialization...
APIWrapper, 5627920568:     	MadelineProto is ready!
SessionPaths, 5627920568:   	Waiting for exclusive lock of /var/www/html/telegram.session/ipcState.php.lock...
SessionPaths, 5627920568:   	Got exclusive lock of /var/www/html/telegram.session/ipcState.php.lock...
PingLoop, 5627920568:       	Ping DC 2.0
PingLoop, 5627920568:       	Ping DC 1.0
PingLoop, 5627920568:       	Ping DC 3.0
PingLoop, 5627920568:       	Ping DC 4.0
PingLoop, 5627920568:       	Ping DC 5.0
FeedLoop, 5627920568:       	Resumed update feed loop generic
GarbageCollector, 5627920568: 	gc_collect_cycles done. Cleaned memory: 0 Mb
MTProto, 5627920568:        	Accepted IPC client connection!
Session, 5627920568:        	Garbage collected 5 incoming messages in DC 4, 0 left
Session, 5627920568:        	Garbage collected 4 outgoing messages in DC 4, 0 left
Session, 5627920568:        	Garbage collected 19 incoming messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 19 outgoing messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 5 incoming messages in DC 1, 0 left
Session, 5627920568:        	Garbage collected 4 outgoing messages in DC 1, 0 left
Session, 5627920568:        	Garbage collected 5 incoming messages in DC 3, 0 left
Session, 5627920568:        	Garbage collected 4 outgoing messages in DC 3, 0 left
Session, 5627920568:        	Garbage collected 3 incoming messages in DC 5, 0 left
Session, 5627920568:        	Garbage collected 1 outgoing messages in DC 5, 1 left
UpdateHandler, 5627920568:  	Parsing updates (updateShort) received via the socket...
FeedLoop, 5627920568:       	Resumed update feed loop generic
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 5, 0 left
Session, 5627920568:        	Garbage collected 1 outgoing messages in DC 5, 0 left
UpdateHandler, 5627920568:  	Parsing updates (updateShort) received via the socket...
FeedLoop, 5627920568:       	Resumed update feed loop generic
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 1 outgoing messages in DC 2, 1 left
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 1 outgoing messages in DC 2, 0 left
UpdateHandler, 5627920568:  	Parsing updates (updateShort) received via the socket...
FeedLoop, 5627920568:       	Resumed update feed loop generic
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 2, 0 left
UpdateHandler, 5627920568:  	Parsing updates (updateShort) received via the socket...
FeedLoop, 5627920568:       	Resumed update feed loop generic
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 2, 0 left
Connection, 5627920568:     	Connecting to DC -2.1
Session, 5627920568:        	Resetting session in DC -2.1...
Connection, 5627920568:     	Connecting to DC -4.1
Session, 5627920568:        	Resetting session in DC -4.1...
Connection, 5627920568:     	Connected to DC -2.1!
Connection, 5627920568:     	Connecting to DC -2.2
Session, 5627920568:        	Resetting session in DC -2.2...
Connection, 5627920568:     	Connected to DC -4.1!
Connection, 5627920568:     	Connecting to DC -4.2
Session, 5627920568:        	Resetting session in DC -4.2...
Connection, 5627920568:     	Connected to DC -2.2!
Connection, 5627920568:     	Connected to DC -4.2!
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 2 outgoing messages in DC 2, 0 left
UpdateHandler, 5627920568:  	Parsing updates (updateShort) received via the socket...
FeedLoop, 5627920568:       	Resumed update feed loop generic
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 2, 0 left
MTProto, 5627920568:        	Accepted IPC client connection!
SessionPaths, 5627920568:   	Waiting for exclusive lock of /var/www/html/telegram.session/safe.php.lock...
SessionPaths, 5627920568:   	Got exclusive lock of /var/www/html/telegram.session/safe.php.lock...
SessionPaths, 5627920568:   	Waiting for exclusive lock of /var/www/html/telegram.session/lightState.php.lock...
SessionPaths, 5627920568:   	Got exclusive lock of /var/www/html/telegram.session/lightState.php.lock...
APIWrapper, 5627920568:     	Saved session!
UpdateHandler, 5627920568:  	Parsing updates (updateShort) received via the socket...
FeedLoop, 5627920568:       	Resumed update feed loop generic
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 2 outgoing messages in DC 2, 0 left
UpdateHandler, 5627920568:  	Parsing updates (updateShort) received via the socket...
FeedLoop, 5627920568:       	Resumed update feed loop generic
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 2, 0 left
Connection, 5627920568:     	Connecting to DC -2.3
Session, 5627920568:        	Resetting session in DC -2.3...
Connection, 5627920568:     	Connecting to DC -4.3
Session, 5627920568:        	Resetting session in DC -4.3...
Connection, 5627920568:     	Connected to DC -2.3!
Connection, 5627920568:     	Connecting to DC -2.4
Session, 5627920568:        	Resetting session in DC -2.4...
Connection, 5627920568:     	Connected to DC -4.3!
Connection, 5627920568:     	Connecting to DC -4.4
Session, 5627920568:        	Resetting session in DC -4.4...
Connection, 5627920568:     	Connected to DC -2.4!
Connection, 5627920568:     	Connected to DC -4.4!
Session, 5627920568:        	Garbage collected 1 outgoing messages in DC 2, 1 left
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 1 outgoing messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 2 outgoing messages in DC 2, 0 left
UpdateHandler, 5627920568:  	Parsing updates (updateShort) received via the socket...
FeedLoop, 5627920568:       	Resumed update feed loop generic
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 2, 0 left
SessionPaths, 5627920568:   	Waiting for exclusive lock of /var/www/html/telegram.session/safe.php.lock...
SessionPaths, 5627920568:   	Got exclusive lock of /var/www/html/telegram.session/safe.php.lock...
